listing_id,brand,model,year,city,mileage,fuel_type,transmission,engine_capacity,body_type,color,registered_in,assembly,is_featured,car_age,mileage_per_year,is_new_car,is_very_old,engine_size_category,mileage_category,mileage_ratio,is_high_mileage,is_low_mileage,log_mileage,log_engine_capacity,feat_alloy_wheels,feat_front_speakers,feat_immobilizer_key,feat_power_locks,feat_keyless_entry,feat_power_steering,feat_air_conditioning,feat_infotainment_system,feat_rear_speakers,feat_steering_switches,feat_abs,feat_air_bags,feat_rear_camera,feat_power_mirrors,feat_front_fog_lights,feat_led_headlights,feat_drls,feat_sun_roof,feat_paddle_shifters,feat_traction_control,feat_front_camera,feat_rear_ac_vents,feat_climate_control,feat_cruise_control,feat_push_start,feat_power_seats,feat_heated_seats,feat_android_auto,feat_apple_carplay,feat_ventilated_seats,feat_parking_sensors,feat_panoramic_sunroof,feat_head_up_display_hud,feat_tyre_pressure_monitoring_system_tpms,feat_360_camera,equipment_score,safety_score,comfort_score,luxury_score,technology_score,seller_genuine_condition,seller_like_new,seller_non_accidental,seller_minor_accident,seller_minor_touchups,seller_engine_repaired,seller_engine_swapped,seller_sealed_engine,seller_service_history,seller_authorized_workshop,seller_fresh_import,seller_original_book,seller_duplicate_book,seller_original_file,seller_duplicate_file,seller_missing_file,seller_duplicate_plate,seller_auction_sheet,seller_army_officer,seller_driven_on_petrol,seller_factory_cng,seller_price_negotiable,seller_exchange_possible,seller_urgent_sale,seller_contact_office_hours,seller_new_tyres,seller_token_paid,seller_lifetime_token,seller_confidence_score,seller_risk_score,seller_urgency_score,contains_first_owner,contains_second_owner,contains_single_owner,contains_scratch,contains_paint,contains_touchup,contains_accident,contains_seal,contains_token,contains_family_use,contains_home_used,market_avg_mileage,mileage_difference,market_avg_equipment_score,better_equipped_than_average,is_large_city,city_avg_price,city_listing_count,price,description,seller_comments,price_per_cc,mileage_density,log_price,market_price_difference,market_price_ratio,percent_below_market,market_avg_price,market_median_price,market_std_price,market_listing_count
1,Toyota,Corolla GLi,2021,Lahore,25000,Petrol,Automatic,1300.0,Sedan,White,Lahore,Local,True,5,5000.0,False,False,1001-1300cc,20k-50k,0.4166666666666667,False,True,10.12667110305036,7.170888478512505,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,3,2,0,0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,0,0,True,False,False,False,False,False,True,False,False,False,False,33000.0,-8000.0,4.5,True,True,8350000.0,5,4200000,"First owner car, non accident, full option.",Everything is in genuine condition. Original book of this car is also available.,3230.769230769231,19.23076923076923,,125000.0,1.030674846625767,-3.067484662576687,4075000.0,4075000.0,176776.69529663687,2
2,Toyota,Corolla GLi,2021,Lahore,41000,Petrol,Automatic,1300.0,Sedan,Silver,Lahore,Local,False,5,8200.0,False,False,1001-1300cc,20k-50k,0.6833333333333333,False,True,10.62135173563291,7.170888478512505,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,0,2,0,0,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3,0,False,True,False,True,True,True,True,False,False,False,False,33000.0,8000.0,4.5,False,True,8350000.0,5,3950000,"Second owner, some scratches on bumper, minor paint touchup done.",Minor Accidental Cars. Duplicate book. Few paint touchups on the body.,3038.4615384615386,31.53846153846154,,-125000.0,0.9693251533742331,3.067484662576687,4075000.0,4075000.0,176776.69529663687,2
3,Honda,Civic Vti Oriel,2019,Karachi,60000,Petrol,Automatic,1800.0,Sedan,Grey,Karachi,Local,False,7,8571.42857142857,False,False,1601-2000cc,50k-100k,0.7142857142857143,False,True,11.002116507732017,7.496097345175956,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,5,0,2,3,4,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0,False,False,True,False,False,False,False,True,False,False,True,60000.0,0.0,5.0,False,True,5200000.0,1,5200000,"Single owner, home used car, chassis seal intact.",Engine in pristine condition. Repair work was done on the engine.,2888.8888888888887,33.333333333333336,,0.0,1.0,0.0,5200000.0,5200000.0,,1
4,Suzuki,Alto VXR,2022,Islamabad,8000,Petrol,Manual,660.0,Hatchback,Beige,Islamabad,Local,False,4,2000.0,False,False,<=800cc,<20k,0.16666666666666666,False,True,8.987321812850125,6.493753839851686,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0,2,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,2,0,1,False,False,False,False,False,False,False,False,True,True,False,8000.0,0.0,2.0,False,True,2450000.0,2,2600000,"Family used since new, token tax paid to date, lifetime token paid.",Exchange is possible with other car. Call/SMS only during office hours please.,3939.3939393939395,12.121212121212121,,0.0,1.0,0.0,2600000.0,2600000.0,,1
5,Toyota,Passo,2018,Islamabad,70000,Petrol,Automatic,1000.0,Hatchback,White,Unregistered,Imported,False,8,8750.0,False,False,801-1000cc,50k-100k,0.7291666666666666,False,True,11.156264806643742,6.90875477931522,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0,0,2,False,False,False,False,False,False,False,False,False,False,False,70000.0,0.0,1.0,False,True,2450000.0,2,2300000,"Recently imported, price is flexible, need to sell the car urgently.",,2300.0,70.0,,0.0,1.0,0.0,2300000.0,2300000.0,,1
6,Daihatsu,Mira,2017,Faisalabad,55000,Petrol,Automatic,660.0,Hatchback,Multi,Faisalabad,Imported,False,9,6111.111111111111,False,False,<=800cc,50k-100k,0.5092592592592593,False,True,10.915106645867503,6.493753839851686,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,1,2,0,False,False,False,False,False,False,False,False,False,False,False,55000.0,0.0,0.0,False,True,1800000.0,1,1800000,,Complete auction sheet available. Duplicate number plates available. Missing File.,2727.2727272727275,83.33333333333333,,0.0,1.0,0.0,1800000.0,1800000.0,,1
7,Suzuki,Mehran Vx,2015,Rawalpindi,90000,Petrol,Manual,800.0,Sedan,Green,Rawalpindi,Local,False,11,8181.818181818182,False,False,<=800cc,50k-100k,0.6818181818181818,False,True,11.407576060361786,6.68586094706836,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,90000.0,0.0,0.0,False,True,950000.0,1,950000,The car was in the use of an Army Officer. Driven on petrol throughout. Company fitted CNG.,,1187.5,112.5,,0.0,1.0,0.0,950000.0,950000.0,,1
8,Byd,Atto 3,2024,Lahore,3000,Electric,Automatic,0.0,SUV,White,Lahore,Imported,True,2,1500.0,False,False,Electric,<20k,0.125,False,True,8.006700845440367,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,6,1,4,4,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,False,False,False,False,False,False,False,False,False,False,False,3000.0,0.0,6.0,False,True,8350000.0,5,9800000,"Like new, showroom condition.",,,,,0.0,1.0,0.0,9800000.0,9800000.0,,1
9,Suzuki,Cultus VXR,2005,Jhang,210000,Petrol,Manual,1000.0,Hatchback,Blue,Unregistered,Local,False,21,10000.0,False,True,801-1000cc,150k+,0.8333333333333334,False,False,12.25486757159303,6.90875477931522,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1,0,1,False,False,False,False,False,False,False,False,False,False,False,210000.0,0.0,0.0,False,False,650000.0,1,650000,"new tires installed, price negotiable",,650.0,210.0,,0.0,1.0,0.0,650000.0,650000.0,,1
10,Suzuki,Alto VXR,2021,Multan,15000,Petrol,Manual,660.0,Unknown,Red,Multan,Local,False,5,3000.0,False,False,<=800cc,<20k,0.25,False,True,9.61587214452889,6.493753839851686,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,15000.0,0.0,0.0,False,True,2400000.0,1,2400000,,,3636.3636363636365,22.727272727272727,,0.0,1.0,0.0,2400000.0,2400000.0,,1
