id,listing_id,title,brand,model,year,city,mileage,fuel_type,transmission,engine_capacity,color,body_type,price,ad_url,description,seller_comments,scrape_date,registered_in,assembly,is_featured,feat_alloy_wheels,feat_front_speakers,feat_immobilizer_key,feat_power_locks,feat_keyless_entry,feat_power_steering,feat_air_conditioning,feat_infotainment_system,feat_rear_speakers,feat_steering_switches,feat_abs,feat_air_bags,feat_rear_camera,feat_power_mirrors,feat_front_fog_lights,feat_led_headlights,feat_drls,feat_sun_roof,feat_paddle_shifters,feat_traction_control,feat_front_camera,feat_rear_ac_vents,feat_climate_control,feat_cruise_control,feat_push_start,feat_power_seats,feat_heated_seats,feat_android_auto,feat_apple_carplay,feat_ventilated_seats,feat_parking_sensors,feat_panoramic_sunroof,feat_head_up_display_hud,feat_tyre_pressure_monitoring_system_tpms,feat_360_camera
1,100001,Toyota Corolla GLi 2021,toyota,corolla gli,2021,Lahore,25000,petrol,automatic,1300.0,white,Sedan,4200000,https://example.com/ad,"First owner car, non accident, full option.",Everything is in genuine condition. Original book of this car is also available.,2026-06-01 10:00:00,lahore,local,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,100002,Toyota Corolla GLi 2021,Toyota,Corolla GLi,2021,lahore,41000,Petrol,Automatic,1300.0,Silver,Sedan,3950000,https://example.com/ad,"Second owner, some scratches on bumper, minor paint touchup done.",Minor Accidental Cars. Duplicate book. Few paint touchups on the body.,2026-06-01 10:00:00,Lahore,Local,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,100003,Honda Civic 2019,honda,civic vti oriel,2019,KARACHI,60000,Petrol,Automatic,1800.0,gun matalic,Sedan,5200000,https://example.com/ad,"Single owner, home used car, chassis seal intact.",Engine in pristine condition. Repair work was done on the engine.,2026-06-01 10:00:00,Karachi,Local,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
4,100004,Suzuki Alto VXR 2022,suzuki,alto vxr,2022,Islamabad,8000,Petrol,Manual,660.0,beige,Hatchback,2600000,https://example.com/ad,"Family used since new, token tax paid to date, lifetime token paid.",Exchange is possible with other car. Call/SMS only during office hours please.,2026-06-01 10:00:00,Islamabad,Local,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,100005,Toyota Passo 2018,Toyota,Passo,2018,islamabad,70000,Petrol,Automatic,1000.0,wite,Hatchback,2300000,https://example.com/ad,"Recently imported, price is flexible, need to sell the car urgently.",,2026-06-01 10:00:00,Unregistered,Imported,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,100006,Daihatsu Mira 2017,daihatsu,mira,2017,Faisalabad,55000,Petrol,Automatic,660.0,two tone black and white,Hatchback,1800000,https://example.com/ad,,Complete auction sheet available. Duplicate number plates available. Missing File.,2026-06-01 10:00:00,Faisalabad,Imported,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,100007,Suzuki Mehran VX 2015,Suzuki,Mehran VX,2015,Rawalpindi,90000,Petrol,Manual,800.0,olive,Sedan,950000,https://example.com/ad,The car was in the use of an Army Officer. Driven on petrol throughout. Company fitted CNG.,,2026-06-01 10:00:00,Rawalpindi,Local,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,100008,BYD Atto 3 2024,byd,atto 3,2024,Lahore,3000,Electric,Automatic,,سفید,SUV,9800000,https://example.com/ad,"Like new, showroom condition.",,2026-06-01 10:00:00,Lahore,Imported,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True
9,100009,Suzuki Cultus 2005,Suzuki,Cultus VXR,2005,Jhang,210000,Petrol,Manual,1000.0,bule,Hatchback,650000,https://example.com/ad,"new tires installed, price negotiable",,2026-06-01 10:00:00,Unregistered,Local,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,100010,Suzuki Alto VXR 2021,Suzuki,Alto VXR,2021,Multan,15000,Petrol,Manual,660.0,Red,,2400000,https://example.com/ad,,,2026-06-01 10:00:00,Multan,Local,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,100011,Kia Sportage 2023,kia,sportage,2023,Lahore,12000,Petrol,Automatic,2000.0,black,N/A,8800000,https://example.com/ad,,,2026-06-01 10:00:00,Lahore,Local,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,100012,BMW 5 Series 2020,bmw,5 series,2020,lahore,35000,Petrol,Automatic,3000.0,wine,Sedan,15000000,https://example.com/ad,"Authorized workshop maintained, complete service history.",,2026-06-01 10:00:00,Lahore,Imported,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,True
13,100013,Honda City 2016,Honda,City Aspire,2016,Chiniot,95000,Petrol,Manual,1300.0,not sure,Sedan,2100000,https://example.com/ad,,,2026-06-01 10:00:00,N/A,local,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
